日期,股票代码,开盘价,最高价,最低价,收盘价,前一交易日收盘价,成交量,成交额
1998/4/27,000858.SZ,29.77,57,29.77,53.57,14.77,341630,1846204.586
1998/4/28,000858.SZ,54,56.5,53.6,54.19,53.57,67658,371571.8361
1998/4/29,000858.SZ,54.97,54.98,52.9,53.3,54.19,33932,181927.516
1998/4/30,000858.SZ,53.3,54.2,53.2,53.65,53.3,23856,127942.1781
1998/5/4,000858.SZ,55.1,59.02,55,59.02,53.65,49209,285312.9253
1998/5/5,000858.SZ,62.88,64.9,61.61,62.66,59.02,84095,532130.5492
1998/5/6,000858.SZ,62.2,66,61.8,65.73,62.66,44366,283147.6785
1998/5/7,000858.SZ,67,69.8,66,66.45,65.73,60016,405496.1277
1998/5/8,000858.SZ,66.45,68.18,66,67.02,66.45,35393,237166.3987
1998/5/11,000858.SZ,66.6,67.18,63.8,64.1,67.02,32802,212802.4783
1998/5/12,000858.SZ,63.3,63.8,62.22,63.43,64.1,19151,120685.5908
1998/5/13,000858.SZ,63.2,65.75,63.01,63.85,63.43,13930,89469.2726
1998/5/14,000858.SZ,63.85,64.45,62.85,63.03,63.85,11501,72694.7459
1998/5/15,000858.SZ,63.4,65.2,63.1,63.93,63.03,10440,66869.0124
1998/5/18,000858.SZ,65,65,62.52,63.1,63.93,7357,46577.6204
1998/5/19,000858.SZ,62.5,64,61.5,62.33,63.1,10973,68153.7367
1998/5/20,000858.SZ,62,62.3,60.85,60.89,62.33,9217,56580.3993
1998/5/21,000858.SZ,60.3,63.2,60.3,62.01,60.89,7721,47390.9995
1998/5/22,000858.SZ,62.1,63,61.6,62.49,62.01,8264,51396.7958
1998/5/25,000858.SZ,62.48,62.49,60.86,60.93,62.49,6873,42102.711
1998/5/26,000858.SZ,60.88,61.99,60.38,60.74,60.93,6629,40315.8392
1998/5/27,000858.SZ,61,61,59.53,59.68,60.74,10560,63468.7557
1998/5/28,000858.SZ,59.1,61.48,59,60,59.68,12403,74459.3948
1998/5/29,000858.SZ,60.03,60.9,59.8,60,60,5368,32330.4982
1998/6/1,000858.SZ,60,60,57.88,58.97,60,12907,75831.7245
1998/6/2,000858.SZ,58.9,58.9,57.8,57.9,58.97,8585,49812.716
1998/6/3,000858.SZ,57.59,57.75,55.92,55.99,57.9,12373,69987.7758
1998/6/4,000858.SZ,55.5,58.1,55.19,56.97,55.99,10243,58234.3277
1998/6/5,000858.SZ,56.97,58.09,56.8,57.98,56.97,7261,41744.7598
1998/6/8,000858.SZ,57.67,58,56.4,56.79,57.98,6240,35459.0542
1998/6/9,000858.SZ,56.48,56.5,55.2,55.57,56.79,6638,37016.7302
1998/6/10,000858.SZ,55.5,58,55.5,57.01,55.57,5058,28690.4558
1998/6/11,000858.SZ,56.8,57.28,55.5,55.64,57.01,3670,20678.4228
1998/6/12,000858.SZ,57.7,57.7,56.2,56.6,55.64,4355,24636.0892
1998/6/15,000858.SZ,56.88,56.88,55.4,55.87,56.6,3985,22245.7128
1998/6/16,000858.SZ,55.5,55.5,53.8,53.97,55.87,10129,54970.0451
1998/6/17,000858.SZ,54,54.9,53.6,53.97,53.97,3812,20584.9056
1998/6/18,000858.SZ,54,54.7,54,54.35,53.97,4788,25972.4273
1998/6/19,000858.SZ,54,55.2,53.99,55.1,54.35,5493,29882.0873
1998/6/22,000858.SZ,55.5,56.98,55.2,55.98,55.1,5002,28089.0408
1998/6/23,000858.SZ,55.86,56.68,55.2,56.26,55.98,3336,18666.5304
1998/6/24,000858.SZ,57,57.1,55.36,55.49,56.26,2210,12312.8307
1998/6/25,000858.SZ,55.49,55.64,54.4,54.5,55.49,3206,17511.6644
1998/6/26,000858.SZ,54.2,54.58,54,54.23,54.5,4139,22423.6803
1998/6/29,000858.SZ,55,55.08,53.2,53.35,54.23,5048,27030.5924
1998/6/30,000858.SZ,53.5,53.5,50.5,50.7,53.35,9071,47227.0321
1998/7/1,000858.SZ,51.58,52.16,49.2,49.73,50.7,15820,79375.8149
1998/7/2,000858.SZ,49.8,50,48.01,49.99,49.73,7892,38773.0495
1998/7/3,000858.SZ,51.98,51.98,49.6,50.37,49.99,4590,23126.6196
1998/7/6,000858.SZ,50.3,50.35,49.7,49.8,50.37,2322,11581.8826
1998/7/7,000858.SZ,49.19,50.15,49.02,49.94,49.8,2103,10393.877
1998/7/8,000858.SZ,50.48,50.48,49.68,49.69,49.94,2135,10666.2076
1998/7/9,000858.SZ,49.8,50,49.01,49.35,49.69,2561,12643.4393
1998/7/10,000858.SZ,49.4,51.15,49.35,50.79,49.35,4396,22243.9441
1998/7/13,000858.SZ,50.78,50.78,49.8,49.9,50.79,4481,22401.723
1998/7/14,000858.SZ,50,50,49,49.55,49.9,7687,38019.9232
1998/7/15,000858.SZ,49,50.6,49,49.86,49.55,2302,11438.8095
1998/7/16,000858.SZ,49.8,50,47.75,47.8,49.86,7616,36864.685
1998/7/17,000858.SZ,47.8,48.2,46.3,46.7,47.8,5964,27987.5784
1998/7/20,000858.SZ,46,46.03,44.55,44.88,46.7,7536,33933.0988
1998/7/21,000858.SZ,44.9,48.3,44.7,46.48,44.88,5868,26939.97
1998/7/22,000858.SZ,46.4,47.3,45.53,46.53,46.48,4460,20763.5247
1998/7/23,000858.SZ,46.8,46.99,45.85,46,46.53,3749,17296.7482
1998/7/24,000858.SZ,46,48.47,46,47.98,46,10253,48859.8446
1998/7/27,000858.SZ,47.98,48.2,47.11,47.5,47.98,3947,18772.3961
1998/7/28,000858.SZ,47.55,47.96,47.06,47.3,47.5,1770,8387.0763
1998/7/29,000858.SZ,47.05,47.6,46.5,46.63,47.3,3011,14169.0399
1998/7/30,000858.SZ,46.6,47.28,45.85,46.5,46.63,5098,23619.6472
1998/7/31,000858.SZ,46.51,47,46.5,46.61,46.5,1779,8320.8936
1998/8/3,000858.SZ,46.5,46.5,44.9,45.09,46.61,5547,25119.9472
