,Stock,Time,Open Price,High Price,Low Price,Close Price,Previous Close Price,Trading Volume,Trading Amount
0,000858.SZ,19980427,29.77,57.0,29.77,53.57,14.77,341630.0,1846204.5861
1,000858.SZ,19980428,54.0,56.5,53.6,54.19,53.57,67658.0,371571.8361
2,000858.SZ,19980429,54.97,54.98,52.9,53.3,54.19,33932.0,181927.516
3,000858.SZ,19980430,53.3,54.2,53.2,53.65,53.3,23856.0,127942.1781
4,000858.SZ,19980504,55.1,59.02,55.0,59.02,53.65,49209.0,285312.9253
5,000858.SZ,19980505,62.88,64.9,61.61,62.66,59.02,84095.0,532130.5492
6,000858.SZ,19980506,62.2,66.0,61.8,65.73,62.66,44366.0,283147.6785
7,000858.SZ,19980507,67.0,69.8,66.0,66.45,65.73,60016.0,405496.1277
8,000858.SZ,19980508,66.45,68.18,66.0,67.02,66.45,35393.0,237166.3987
9,000858.SZ,19980511,66.6,67.18,63.8,64.1,67.02,32802.0,212802.4783
10,000858.SZ,19980512,63.3,63.8,62.22,63.43,64.1,19151.0,120685.5908
11,000858.SZ,19980513,63.2,65.75,63.01,63.85,63.43,13930.0,89469.2726
12,000858.SZ,19980514,63.85,64.45,62.85,63.03,63.85,11501.0,72694.7459
13,000858.SZ,19980515,63.4,65.2,63.1,63.93,63.03,10440.0,66869.0124
14,000858.SZ,19980518,65.0,65.0,62.52,63.1,63.93,7357.0,46577.6204
15,000858.SZ,19980519,62.5,64.0,61.5,62.33,63.1,10973.0,68153.7367
16,000858.SZ,19980520,62.0,62.3,60.85,60.89,62.33,9217.0,56580.3993
17,000858.SZ,19980521,60.3,63.2,60.3,62.01,60.89,7721.0,47390.9995
18,000858.SZ,19980522,62.1,63.0,61.6,62.49,62.01,8264.0,51396.7958
19,000858.SZ,19980525,62.48,62.49,60.86,60.93,62.49,6873.0,42102.711
20,000858.SZ,19980526,60.88,61.99,60.38,60.74,60.93,6629.0,40315.8392
21,000858.SZ,19980527,61.0,61.0,59.53,59.68,60.74,10560.0,63468.7557
22,000858.SZ,19980528,59.1,61.48,59.0,60.0,59.68,12403.0,74459.3948
23,000858.SZ,19980529,60.03,60.9,59.8,60.0,60.0,5368.0,32330.4982
24,000858.SZ,19980601,60.0,60.0,57.88,58.97,60.0,12907.0,75831.7245
25,000858.SZ,19980602,58.9,58.9,57.8,57.9,58.97,8585.0,49812.716
26,000858.SZ,19980603,57.59,57.75,55.92,55.99,57.9,12373.0,69987.7758
27,000858.SZ,19980604,55.5,58.1,55.19,56.97,55.99,10243.0,58234.3277
28,000858.SZ,19980605,56.97,58.09,56.8,57.98,56.97,7261.0,41744.7598
29,000858.SZ,19980608,57.67,58.0,56.4,56.79,57.98,6240.0,35459.0542
30,000858.SZ,19980609,56.48,56.5,55.2,55.57,56.79,6638.0,37016.7302
31,000858.SZ,19980610,55.5,58.0,55.5,57.01,55.57,5058.0,28690.4558
32,000858.SZ,19980611,56.8,57.28,55.5,55.64,57.01,3670.0,20678.4228
33,000858.SZ,19980612,57.7,57.7,56.2,56.6,55.64,4355.0,24636.0892
34,000858.SZ,19980615,56.88,56.88,55.4,55.87,56.6,3985.0,22245.7128
35,000858.SZ,19980616,55.5,55.5,53.8,53.97,55.87,10129.0,54970.0451
36,000858.SZ,19980617,54.0,54.9,53.6,53.97,53.97,3812.0,20584.9056
37,000858.SZ,19980618,54.0,54.7,54.0,54.35,53.97,4788.0,25972.4273
38,000858.SZ,19980619,54.0,55.2,53.99,55.1,54.35,5493.0,29882.0873
39,000858.SZ,19980622,55.5,56.98,55.2,55.98,55.1,5002.0,28089.0408
40,000858.SZ,19980623,55.86,56.68,55.2,56.26,55.98,3336.0,18666.5304
